City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Felix Do Xingu,BR,2021-06-11 07:37:28,-6.6447,-51.995,68.45,80,9,2.06
68,Cockburn Town,TC,2021-06-11 07:37:28,21.4612,-71.1419,79.93,76,22,14.29
69,Coquimbo,CL,2021-06-11 07:37:29,-29.9533,-71.3436,47.93,100,0,10.36
70,Longyearbyen,SJ,2021-06-11 07:37:29,78.2186,15.6401,35.44,69,75,9.22
71,Huilong,CN,2021-06-11 07:37:30,31.8111,121.655,91.04,73,99,9.46
72,Gasa,PS,2021-06-11 07:37:30,31.5,34.4667,81.88,52,0,7.63
73,Itaguai,BR,2021-06-11 07:32:58,-22.8522,-43.7753,71.58,78,40,11.5
74,Trairi,BR,2021-06-11 07:37:31,-3.2778,-39.2689,74.98,88,82,8.93
75,Port Alfred,ZA,2021-06-11 07:37:32,-33.5906,26.891,71.6,42,19,7.87
76,Luderitz,NA,2021-06-11 07:37:32,-26.6481,15.1594,68.85,35,0,0.96
77,Yellowknife,CA,2021-06-11 07:37:33,62.456,-114.3525,54.12,82,90,9.22
78,Tiksi,RU,2021-06-11 07:37:34,71.6872,128.8694,52.3,51,98,9.22
79,Thompson,CA,2021-06-11 07:37:34,55.7435,-97.8558,53.76,82,90,6.91
80,Saint-Augustin,CA,2021-06-11 07:37:34,51.226,-58.6502,40.28,66,100,5.44
81,Presidencia Roque Saenz Pena,AR,2021-06-11 07:37:35,-26.7852,-60.4388,52.88,96,0,4.21
82,Dabra,IN,2021-06-11 07:37:35,25.9,78.3333,105.13,22,71,14.38
83,Tucupita,VE,2021-06-11 07:37:36,9.0622,-62.051,70.54,99,96,1.61
84,Dudinka,RU,2021-06-11 07:37:36,69.4058,86.1778,36.64,100,100,14.94
85,Provideniya,RU,2021-06-11 07:37:37,64.3833,-173.3,40.93,89,100,4.12
86,Olafsvik,IS,2021-06-11 07:37:37,64.8945,-23.7142,40.3,67,84,26.04
87,Suzun,RU,2021-06-11 07:37:38,53.7841,82.3116,61.7,35,92,12.24
88,Plettenberg Bay,ZA,2021-06-11 07:37:38,-34.0527,23.3716,71.26,42,2,5.32
89,Ancud,CL,2021-06-11 07:37:39,-41.8697,-73.8203,56.73,96,100,19.69
90,Butaritari,KI,2021-06-11 07:37:39,3.0707,172.7902,82.67,76,47,9.08
91,Kenai,US,2021-06-11 07:37:39,60.5544,-151.2583,54.03,82,40,10.36
92,Tahoua,NE,2021-06-11 07:37:40,14.8888,5.2692,87.78,48,7,9.22
93,Hoa Binh,VN,2021-06-11 07:37:40,20.8133,105.3383,93.09,79,93,2.68
94,Hobart,AU,2021-06-11 07:33:44,-42.8794,147.3294,56.12,96,75,1.99
95,Sambava,MG,2021-06-11 07:37:41,-14.2667,50.1667,80.02,59,8,14.54
96,Port Elizabeth,ZA,2021-06-11 07:33:44,-33.918,25.5701,61.09,67,0,4.61
97,Saint Anthony,US,2021-06-11 07:37:42,45.0205,-93.218,82.54,62,75,4.0
98,Airai,TL,2021-06-11 07:37:42,-8.9266,125.4092,61.97,90,100,3.2
99,Lorengau,PG,2021-06-11 07:37:43,-2.0226,147.2712,81.99,80,97,10.16
100,Esperance,AU,2021-06-11 07:37:43,-33.8667,121.9,64.24,77,100,12.75
101,Chuy,UY,2021-06-11 07:37:43,-33.6971,-53.4616,47.64,87,0,10.18
102,Ponta Do Sol,PT,2021-06-11 07:37:44,32.6667,-17.1,75.83,45,0,3.98
103,Bac Lieu,VN,2021-06-11 07:37:44,9.285,105.7244,85.82,67,100,11.16
104,Eagle Pass,US,2021-06-11 07:37:45,28.7091,-100.4995,84.27,67,0,13.82
105,Antofagasta,CL,2021-06-11 07:37:13,-23.65,-70.4,58.28,66,40,2.15
106,Tual,ID,2021-06-11 07:37:45,-5.6667,132.75,81.7,81,35,15.21
107,Ketchikan,US,2021-06-11 07:37:46,55.3422,-131.6461,51.78,86,17,2.01
108,Kahului,US,2021-06-11 07:36:06,20.8947,-156.47,75.22,74,1,13.8
109,Batagay-Alyta,RU,2021-06-11 07:37:46,67.8006,130.4114,64.65,31,100,14.36
110,Beloha,MG,2021-06-11 07:37:47,-25.1667,45.05,75.47,52,3,10.0
111,Atuona,PF,2021-06-11 07:37:47,-9.8,-139.0333,79.41,77,8,10.83
