City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,75,Ponta Do Sol,PT,32.6667,-17.1,69.01,75,6,5.91,clear sky
76,76,Puerto Quijarro,BO,-17.7833,-57.7667,69.82,72,0,2.62,clear sky
77,77,Arraial Do Cabo,BR,-22.9661,-42.0278,68.7,67,5,8.01,clear sky
78,78,Carnarvon,AU,-24.8667,113.6333,66.42,51,2,18.86,clear sky
79,79,Kodinsk,RU,58.6881,99.1844,62.76,35,95,4.25,overcast clouds
80,80,Oranjestad,AW,12.524,-70.027,82.4,78,20,17.27,few clouds
81,81,Port Hedland,AU,-20.3167,118.5667,78.85,21,96,16.11,overcast clouds
82,82,Talnakh,RU,69.4865,88.3972,54.3,76,15,13.56,few clouds
83,83,Lagoa,PT,39.05,-27.9833,67.41,81,39,2.64,scattered clouds
84,84,Manadhoo,MV,5.7667,73.3833,83.23,71,100,17.31,overcast clouds
85,85,Jamestown,US,42.097,-79.2353,61.36,97,9,5.1,clear sky
86,86,Najran,SA,17.4924,44.1277,81.39,9,17,3.11,few clouds
87,87,Pangnirtung,CA,66.1451,-65.7125,31.71,98,94,0.65,overcast clouds
88,88,Sao Filipe,CV,14.8961,-24.4956,73.13,79,94,4.61,overcast clouds
89,89,Carolina,PR,18.3808,-65.9574,82.29,85,100,9.64,overcast clouds
90,90,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,5.75,scattered clouds
91,91,Atuona,PF,-9.8,-139.0333,79.79,75,10,21.25,clear sky
92,92,Fortuna,US,40.5982,-124.1573,59.67,58,1,5.75,clear sky
93,93,Iqaluit,CA,63.7506,-68.5145,36.7,74,50,5.99,scattered clouds
94,94,Auchel,FR,50.5034,2.4735,60.96,87,100,4.12,overcast clouds
95,95,Debre Tabor,ET,11.85,38.0167,56.82,67,100,0.56,overcast clouds
96,96,Rocha,UY,-34.4833,-54.3333,52.52,72,99,11.27,overcast clouds
97,97,Bluff,NZ,-46.6,168.3333,50.81,93,100,13.2,overcast clouds
98,98,Beloha,MG,-25.1667,45.05,59.7,88,0,5.82,clear sky
99,99,Ixtapa,MX,20.7,-105.2,82.22,79,100,2.39,overcast clouds
100,100,Manavalakurichi,IN,8.1333,77.3,84.29,76,97,17.78,overcast clouds
101,101,Senanga,ZM,-16.1167,23.2667,46.99,51,38,3.18,scattered clouds
102,102,San Patricio,US,28.017,-97.5169,81.84,82,8,4.27,clear sky
103,103,Sorong,ID,-0.8833,131.25,81.23,80,26,9.33,scattered clouds
104,104,Alta Floresta,BR,-9.8756,-56.0861,78.21,52,100,2.98,overcast clouds
105,105,Cape Town,ZA,-33.9258,18.4232,55.09,94,75,1.99,broken clouds
106,106,Glenwood Springs,US,39.5505,-107.3248,79.83,18,2,10.36,clear sky
107,107,Matara,LK,5.9485,80.5353,83.88,72,21,14.27,few clouds
108,108,Saint-Philippe,RE,-21.3585,55.7679,70.48,83,75,4.43,moderate rain
109,109,Kruisfontein,ZA,-34.0033,24.7314,51.89,78,76,4.34,broken clouds
110,110,Chumikan,RU,54.7183,135.315,58.08,66,80,7.4,broken clouds
111,111,Avarua,CK,-21.2078,-159.775,73.45,83,75,11.5,light rain
112,112,Atasu,KZ,48.6814,71.6433,74.8,29,0,14.32,clear sky
113,113,Barrow,US,71.2906,-156.7887,39.22,87,1,12.66,clear sky
114,114,Hithadhoo,MV,-0.6,73.0833,82.45,74,53,5.93,broken clouds
115,115,Tura,IN,25.5198,90.2201,85.46,69,58,6.73,broken clouds
116,116,Sorland,NO,67.667,12.6934,48.92,85,100,9.15,overcast clouds
117,117,Havoysund,NO,70.9963,24.6622,45.48,71,55,1.05,broken clouds
118,118,Muros,ES,42.7762,-9.0603,64.17,86,2,7.87,clear sky
119,119,Bairiki,KI,1.3292,172.9752,82.94,78,12,14.94,light rain
120,120,Langgons,DE,50.5,8.6667,62.92,86,71,1.5,broken clouds
121,121,Tessalit,ML,20.1986,1.0114,89.22,12,4,5.79,clear sky
122,122,Mayumba,GA,-3.432,10.6554,75.83,89,83,3.85,broken clouds
123,123,Derzhavinsk,KZ,51.1,66.3167,81.07,27,6,5.17,clear sky
124,124,Luderitz,,-26.6481,15.1594,61.41,62,100,2.93,overcast clouds
125,125,Ahipara,NZ,-35.1667,173.1667,61.0,86,100,4.61,overcast clouds
126,126,Qaanaaq,GL,77.484,-69.3632,31.41,79,98,6.62,overcast clouds
127,127,Husavik,IS,66.0449,-17.3389,34.75,76,88,2.93,overcast clouds
128,128,Upernavik,GL,72.7868,-56.1549,33.17,94,93,8.57,overcast clouds
129,129,Chkalovskoye,RU,44.8392,133.0436,71.6,68,100,8.19,overcast clouds
130,130,Leningradskiy,RU,69.3833,178.4167,35.65,95,100,2.8,overcast clouds
131,131,Taoudenni,ML,22.6783,-3.9836,95.83,10,1,6.11,clear sky
132,132,Chuy,UY,-33.6971,-53.4616,54.12,82,69,11.16,broken clouds
133,133,Vila Velha,BR,-20.3297,-40.2925,68.95,81,7,4.0,clear sky
134,134,Jizan,SA,17.3333,42.6667,90.77,45,12,0.69,few clouds
135,135,Rojhan,PK,28.6868,69.9534,96.85,43,0,15.08,clear sky
136,136,Sharan,RU,54.8167,54.0,68.31,81,100,5.03,overcast clouds
137,137,Saint George,US,37.1041,-113.5841,93.79,12,1,3.44,clear sky
138,138,Lappeenranta,FI,61.0587,28.1887,59.56,68,20,11.5,few clouds
139,139,Waingapu,ID,-9.6567,120.2641,85.55,59,98,11.99,overcast clouds
140,140,Alice Springs,AU,-23.7,133.8833,74.21,21,3,11.99,clear sky
141,141,Santa Ana,US,33.7456,-117.8678,88.34,62,20,1.01,few clouds
142,142,Xining,CN,36.6167,101.7667,61.95,77,100,3.31,overcast clouds
143,143,Ust-Kuyga,RU,70.0167,135.6,58.08,42,100,19.17,overcast clouds
144,144,Ancud,CL,-41.8697,-73.8203,40.42,83,1,11.23,clear sky
145,145,Cosala,MX,24.4125,-106.6908,78.12,72,55,1.52,broken clouds
146,146,Coquimbo,CL,-29.9533,-71.3436,54.01,88,13,2.53,few clouds
147,147,Touros,BR,-5.1989,-35.4608,75.38,89,17,9.53,few clouds
148,148,Palmer,US,42.1584,-72.3287,64.92,84,90,0.0,overcast clouds
149,149,Port Blair,IN,11.6667,92.75,84.49,78,100,20.54,overcast clouds
150,150,Mar Del Plata,AR,-38.0023,-57.5575,44.1,67,54,1.99,broken clouds
151,151,Kirakira,SB,-10.4544,161.9205,84.47,69,62,10.63,broken clouds
152,152,Port Alfred,ZA,-33.5906,26.891,60.01,84,80,7.16,broken clouds
153,153,Masyaf,SY,35.0653,36.3406,64.45,72,65,11.1,broken clouds
154,154,Camacha,PT,33.0833,-16.3333,65.53,94,75,8.05,broken clouds
155,155,Bredasdorp,ZA,-34.5322,20.0403,53.19,91,69,3.91,broken clouds
156,156,Nikolskoye,RU,59.7035,30.7861,62.02,59,66,9.71,broken clouds
157,157,Pacific Grove,US,36.6177,-121.9166,66.45,87,0,3.0,clear sky
158,158,Norrtalje,SE,59.758,18.705,59.02,76,7,8.81,clear sky
159,159,Hobart,AU,-42.8794,147.3294,58.01,85,75,0.0,broken clouds
160,160,Acapulco,MX,16.8634,-99.8901,79.99,82,90,3.06,overcast clouds
161,161,Yerbogachen,RU,61.2767,108.0108,64.24,49,81,5.35,broken clouds
162,162,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,80,8.05,broken clouds
163,163,Ballina,AU,-28.8667,153.5667,64.78,80,8,4.09,clear sky
164,164,Bonaventure,CA,48.0457,-65.4926,55.78,78,100,13.22,light rain
165,165,Conde,BR,-7.2597,-34.9075,71.47,92,29,6.29,scattered clouds
166,166,Nha Trang,VN,12.25,109.1833,89.6,51,98,7.31,overcast clouds
167,167,Superior,US,46.7208,-92.1041,64.22,77,1,4.61,clear sky
